person_id,visit_occurrence_id,street,city,state,zip,year
1,11,1250 W 16th St,Jacksonville,FL,32209,2012
2,12,2001 SW 16th St,Gainesville,FL,32608,2012
3,13,7000 University Blvd,Winter Park,FL,32792,2010
4,14,1202 Prairie Ln,Titusville,FL,32780,2013
5,15,8441 Helen Terrace,Jacksonville,FL,32210,2015
6,16,4860 Sand Stone Ln,West Palm Beach,FL,33417,2015
7,17,2515 First St,Fort Myers,FL,33901,2016
8,18,2060 Continental Ave,Tallahassee,FL,32304,2016
9,19,1155 SE 7th Ave,Dania Beach,FL,33004,2017
10,20,4400 SW 20th Ave,Gainesville,FL,32607,2017
11,21,1850 SE 18th Ave,Ocala,FL,34471,2017
12,22,2165 Van Buren St,Hollywood,FL,33020,2018
13,23,434 W Jefferson St,Tallahassee,FL,32301,2018
14,24,831 Oakley Seaver Dr,Clermont,FL,34711,2018
15,25,1000 Peachtree Park Dr NE,Atlanta,GA,30309,2019
16,26,240 NW 25th St,Miami,FL,33127,2019
17,27,1510 6th Ave,Columbus,GA,31901,2019
18,28,711 Beach Blvd,Jacksonville Beach,FL,32250,2020
19,29,109 W Fortune St,Tampa,FL,33602,2020
20,30,541 2nd Ave S,Naples,FL,34102,2020
21,31,1400 Briarcliff Rd NE,Atlanta,GA,30306,2020
22,32,1756 N Bayshore Dr,Miami,FL,33132,2021
23,33,949 Cleveland St,Clearwater,FL,33756,2021
24,34,4400 Cortina Cir,Fort Myers,FL,33916,2021
25,35,953 Collins Ave,Miami Beach,FL,33139,2021
26,36,4020 Montgomery St,Savannah,GA,31405,2022
27,37,1242 N Laura St,Jacksonville,FL,32206,2023
28,38,8110 Misty Wood Ave,Lakewood Ranch,FL,34202,2023
29,39,6318 14th St E,Bradenton,FL,34203,2021
30,40,5120 SW 13th Pl,Gainesville,FL,32607,2022
31,41,,,FL,33414,2021
32,42,,,,,2021
33,43,3415 sw 39th blvd,,FL,32608,
