street,city,state,zip,year,entity_id
1250 W 16th St,Jacksonville,FL,32209,2012,1
2001 SW 16th St,Gainesville,FL,32608,2012,2
7000 University Blvd,Winter Park,FL,32792,2010,3
1202 Prairie Ln,Titusville,FL,32780,2013,4
8441 Helen Terrace,Jacksonville,FL,32210,2015,5
4860 Sand Stone Ln,West Palm Beach,FL,33417,2015,6
2515 First St,Fort Myers,FL,33901,2016,7
2060 Continental Ave,Tallahassee,FL,32304,2016,8
1155 SE 7th Ave,Dania Beach,FL,33004,2017,9
4400 SW 20th Ave,Gainesville,FL,32607,2017,10
1850 SE 18th Ave,Ocala,FL,34471,2017,11
2165 Van Buren St,Hollywood,FL,33020,2018,12
434 W Jefferson St,Tallahassee,FL,32301,2018,13
831 Oakley Seaver Dr,Clermont,FL,34711,2018,5
1000 Peachtree Park Dr NE,Atlanta,GA,30309,2019,14
240 NW 25th St,Miami,FL,33127,2019,15
1510 6th Ave,Columbus,GA,31901,2019,16
711 Beach Blvd,Jacksonville Beach,FL,32250,2020,17
109 W Fortune St,Tampa,FL,33602,2020,18
541 2nd Ave S,Naples,FL,34102,2020,19
1400 Briarcliff Rd NE,Atlanta,GA,30306,2020,12
1756 N Bayshore Dr,Miami,FL,33132,2021,11
949 Cleveland St,Clearwater,FL,33756,2021,20
4400 Cortina Cir,Fort Myers,FL,33916,2021,21
953 Collins Ave,Miami Beach,FL,33139,2021,22
4020 Montgomery St,Savannah,GA,31405,2022,23
1242 N Laura St,Jacksonville,FL,32206,2023,24
8110 Misty Wood Ave,Lakewood Ranch,FL,34202,2023,25
6318 14th St E,Bradenton,FL,34203,2021,26
5120 SW 13th Pl,Gainesville,FL,32607,2022,27
,,FL,33414,2021,26
,,,,2021,25
3415 sw 39th blvd,,FL,32608,,33
